"id","reportid","eqpt_type","mass","type","bunker_lot_id"
18045994,"3f78fbdd-b7e5-412d-a24f-754a557c48e1","aux_engines_total","8.800000","mgo","39dd51c6-5e84-40a6-a504-0e4d7fb82e1b"
18045995,"3f78fbdd-b7e5-412d-a24f-754a557c48e1","main_engines_total","0.000000","mgo","39dd51c6-5e84-40a6-a504-0e4d7fb82e1b"
18045996,"3f78fbdd-b7e5-412d-a24f-754a557c48e1","boilers_total","1.600000","mgo","39dd51c6-5e84-40a6-a504-0e4d7fb82e1b"
18045947,"24e53360-cd02-4b7f-9d08-f207b5f434d2","aux_engines_total","3.800000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18045948,"24e53360-cd02-4b7f-9d08-f207b5f434d2","main_engines_total","21.000000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18045970,"4e3e9e11-86a0-43a8-936c-fd0d0b00593b","main_engines_total","0.600000","mgo","b4c37b85-971b-477a-b734-6f801b720af0"
18045971,"4e3e9e11-86a0-43a8-936c-fd0d0b00593b","boilers_total","0.100000","mgo","b4c37b85-971b-477a-b734-6f801b720af0"
17985760,"75b88f30-bb36-4d35-8ba8-6b66b92e0227","aux_engines_total","3.800000","lfo","8d0ef3a6-1018-4378-a925-ed45c502bf4b"
17647032,"474c748e-9163-4687-9db6-2c528d08c9f2","aux_engines_total","4.100000","hfo","400fcb2b-cd14-4822-963d-af7d70fa62b2"
17647033,"474c748e-9163-4687-9db6-2c528d08c9f2","aux_engines_total","0.100000","mgo","f216094d-74c5-436e-a9ba-a9838d5c50ae"
17647034,"474c748e-9163-4687-9db6-2c528d08c9f2","main_engines_total","36.600000","hfo","400fcb2b-cd14-4822-963d-af7d70fa62b2"
17985761,"75b88f30-bb36-4d35-8ba8-6b66b92e0227","main_engines_total","31.000000","lfo","8d0ef3a6-1018-4378-a925-ed45c502bf4b"
17986099,"be9f5aaf-597c-4892-a99b-066368210142","aux_engines_total","4.600000","hfo","7209d445-519d-4bd0-b7dc-663899dfaf29"
17985792,"9fe46efd-6687-42ce-b0ee-095dca8bddea","aux_engines_total","1.000000","lfo","8d0ef3a6-1018-4378-a925-ed45c502bf4b"
17985794,"9fe46efd-6687-42ce-b0ee-095dca8bddea","aux_engines_total","0.100000","mgo","23f7f805-b0f5-413e-aa1f-90546da9ce2e"
17985796,"9fe46efd-6687-42ce-b0ee-095dca8bddea","boilers_total","0.200000","lfo","8d0ef3a6-1018-4378-a925-ed45c502bf4b"
17986100,"be9f5aaf-597c-4892-a99b-066368210142","main_engines_total","32.200000","hfo","7209d445-519d-4bd0-b7dc-663899dfaf29"
18045797,"41e08847-a47b-4b44-b515-9f9446c65fd7","aux_engines_total","4.400000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18022320,"b5474b56-ab86-475b-8ebe-522c82f0386c","aux_engines_total","4.300000","mgo","430800d8-e5a6-4ba9-8cc1-c3cef1a7b3f0"
18022321,"b5474b56-ab86-475b-8ebe-522c82f0386c","main_engines_total","21.500000","mgo","430800d8-e5a6-4ba9-8cc1-c3cef1a7b3f0"
