"id","reportid","mass","type","lot_id","type_group"
663010692,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","mgo","331D3F1E-145E-4ED1-848E-5F115ABD20B8","mgo01"
663010693,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","35AD5FD7-9A47-40FA-B5B2-0D0001F5B6FB","vlsfo05"
663010694,"d2232bc4-e3b5-48eb-aba5-20831d245975","49.755000","mgo","39DD51C6-5E84-40A6-A504-0E4D7FB82E1B","mgo01"
663010695,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","3C3C2FA7-E57C-4DD9-B7B0-A326C6D703C3","vlsfo05"
663010696,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","hfo","3D5511B8-BBAC-408E-B944-D3D84CB1BAD8","vlsfo05"
663010697,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","3DA09283-C6DE-4B2B-B373-BAE472888882","vlsfo05"
663010698,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","hfo","400FCB2B-CD14-4822-963D-AF7D70FA62B2","vlsfo05"
663010699,"d2232bc4-e3b5-48eb-aba5-20831d245975","11.485000","mgo","430800D8-E5A6-4BA9-8CC1-C3CEF1A7B3F0","mgo01"
663010700,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","5603A157-CA0A-4816-A9C5-D811EF9B44F5","vlsfo05"
663010701,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","671A75B3-B04A-4F0C-91F1-C9EB0F44CD9C","vlsfo05"
663010702,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","676C3AE6-3197-4FB8-A06E-AE8474CBFC9B","vlsfo05"
663010703,"d2232bc4-e3b5-48eb-aba5-20831d245975","166.400000","mgo","6AB2A4BF-6482-4EE5-9D6C-44122E542784","mgo01"
663010704,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","lfo","6B7101EA-A440-43F3-8F3F-ACEFFDF367C8","vlsfo05"
663010705,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","hfo","6E8C5400-E6CD-4046-BCBE-A4B2A9B4D18A","vlsfo05"
663010706,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","hfo","7209D445-519D-4BD0-B7DC-663899DFAF29","vlsfo05"
663010707,"d2232bc4-e3b5-48eb-aba5-20831d245975","0.000000","hfo","75E50E9C-5B4F-4AA4-91D3-E609F00C92C2","vlsfo05"
